Book,Reference Book,count,total,percentage_of_book
1 Chronicles,Psalms,332,3290,10.091185410334347
1 Chronicles,2 Samuel,281,3290,8.541033434650457
1 Chronicles,Genesis,201,3290,6.109422492401216
1 Chronicles,Numbers,201,3290,6.109422492401216
1 Chronicles,1 Samuel,160,3290,4.86322188449848
1 Chronicles,1 Kings,145,3290,4.407294832826747
1 Chronicles,Joshua,143,3290,4.346504559270517
1 Chronicles,Exodus,122,3290,3.708206686930091
1 Chronicles,Isaiah,106,3290,3.221884498480243
1 Chronicles,2 Chronicles,103,3290,3.1306990881458967
1 Chronicles,Deuteronomy,86,3290,2.613981762917933
1 Chronicles,2 Kings,67,3290,2.0364741641337383
1 Chronicles,Judges,52,3290,1.5805471124620063
1 Chronicles,Nehemiah,51,3290,1.5501519756838906
1 Chronicles,Revelation,43,3290,1.3069908814589666
1 Chronicles,Proverbs,43,3290,1.3069908814589666
1 Chronicles,Matthew,40,3290,1.21580547112462
1 Chronicles,Leviticus,40,3290,1.21580547112462
1 Chronicles,Ezra,37,3290,1.1246200607902737
1 Chronicles,Jeremiah,35,3290,1.0638297872340425
1 Chronicles,Hebrews,34,3290,1.033434650455927
1 Chronicles,1 Corinthians,30,3290,0.911854103343465
1 Chronicles,Romans,28,3290,0.851063829787234
1 Chronicles,Ezekiel,28,3290,0.851063829787234
1 Chronicles,Luke,26,3290,0.7902735562310031
1 Chronicles,Acts,26,3290,0.7902735562310031
1 Chronicles,Job,19,3290,0.5775075987841946
1 Chronicles,John,15,3290,0.4559270516717325
1 Chronicles,Zechariah,14,3290,0.425531914893617
1 Chronicles,Philippians,14,3290,0.425531914893617
1 Chronicles,Daniel,13,3290,0.3951367781155016
1 Chronicles,Haggai,13,3290,0.3951367781155016
1 Chronicles,1 Peter,11,3290,0.3343465045592705
1 Chronicles,2 Corinthians,11,3290,0.3343465045592705
1 Chronicles,Ephesians,11,3290,0.3343465045592705
1 Chronicles,Ruth,8,3290,0.24316109422492402
1 Chronicles,1 Timothy,7,3290,0.2127659574468085
1 Chronicles,Micah,6,3290,0.182370820668693
1 Chronicles,Colossians,6,3290,0.182370820668693
1 Chronicles,Song Of Solomon,6,3290,0.182370820668693
1 Chronicles,Ecclesiastes,6,3290,0.182370820668693
1 Chronicles,Hosea,6,3290,0.182370820668693
1 Chronicles,Amos,6,3290,0.182370820668693
1 Chronicles,Lamentations,5,3290,0.1519756838905775
1 Chronicles,Esther,5,3290,0.1519756838905775
