Book,Verse ID,References,Book No.,Chapter No.,Verse No.,Ref Book No.,Ref Chapter No.,Ref Verse No.
Exodus,2.12.5,23.9.6,2,12,5,23,9,6
Exodus,2.28.12,23.9.6,2,28,12,23,9,6
Exodus,2.34.14,23.9.6,2,34,14,23,9,6
Leviticus,3.1.3,23.9.6,3,1,3,23,9,6
Leviticus,3.3.1,23.9.6,3,3,1,23,9,6
Judges,7.13.18,23.9.6,7,13,18,23,9,6
2 Samuel,10.8.15,23.9.6,10,8,15,23,9,6
2 Samuel,10.12.24,23.9.6,10,12,24,23,9,6
2 Samuel,10.23.5,23.9.6,10,23,5,23,9,6
2 Samuel,10.23.5,23.9.6,10,23,5,23,9,6
1 Kings,11.2.33,23.9.6,11,2,33,23,9,6
1 Kings,11.2.45,23.9.6,11,2,45,23,9,6
1 Kings,11.11.39,23.9.6,11,11,39,23,9,6
2 Kings,12.16.5,23.9.6,12,16,5,23,9,6
1 Chronicles,13.17.11,23.9.6,13,17,11,23,9,6
1 Chronicles,13.17.12,23.9.6,13,17,12,23,9,6
1 Chronicles,13.22.10,23.9.6,13,22,10,23,9,6
1 Chronicles,13.28.5,23.9.6,13,28,5,23,9,6
2 Chronicles,14.9.8,23.9.6,14,9,8,23,9,6
Job,18.31.36,23.9.6,18,31,36,23,9,6
Psalms,19.22.9,23.9.6,19,22,9,23,9,6
Psalms,19.24.8,23.9.6,19,24,8,23,9,6
Psalms,19.45.3,23.9.6,19,45,3,23,9,6
Psalms,19.45.6,23.9.6,19,45,6,23,9,6
Psalms,19.50.1,23.9.6,19,50,1,23,9,6
Psalms,19.72.17,23.9.6,19,72,17,23,9,6
Psalms,19.76.1,23.9.6,19,76,1,23,9,6
Psalms,19.89.18,23.9.6,19,89,18,23,9,6
Psalms,19.89.19,23.9.6,19,89,19,23,9,6
Psalms,19.96.10,23.9.6,19,96,10,23,9,6
Psalms,19.96.10,23.9.6,19,96,10,23,9,6
Psalms,19.96.13,23.9.6,19,96,13,23,9,6
Psalms,19.102.27,23.9.6,19,102,27,23,9,6
Psalms,19.132.18,23.9.6,19,132,18,23,9,6
Proverbs,20.8.14,23.9.6,20,8,14,23,9,6
Proverbs,20.8.25,23.9.6,20,8,25,23,9,6
Proverbs,20.11.14,23.9.6,20,11,14,23,9,6
Proverbs,20.30.4,23.9.6,20,30,4,23,9,6
Proverbs,20.30.31,23.9.6,20,30,31,23,9,6
Song Of Solomon,22.2.1,23.9.6,22,2,1,23,9,6
Song Of Solomon,22.2.3,23.9.6,22,2,3,23,9,6
Song Of Solomon,22.3.10,23.9.6,22,3,10,23,9,6
Song Of Solomon,22.3.11,23.9.6,22,3,11,23,9,6
Song Of Solomon,22.5.15,23.9.6,22,5,15,23,9,6
Song Of Solomon,22.5.16,23.9.6,22,5,16,23,9,6
Song Of Solomon,22.8.1,23.9.6,22,8,1,23,9,6
Isaiah,23.4.2,23.9.6,23,4,2,23,9,6
Isaiah,23.8.8,23.9.6,23,8,8,23,9,6
Isaiah,23.8.10,23.9.6,23,8,10,23,9,6
Isaiah,23.10.21,23.9.6,23,10,21,23,9,6
Isaiah,23.10.27,23.9.6,23,10,27,23,9,6
Isaiah,23.11.1,23.9.6,23,11,1,23,9,6
Isaiah,23.16.5,23.9.6,23,16,5,23,9,6
Isaiah,23.22.21,23.9.6,23,22,21,23,9,6
Isaiah,23.22.22,23.9.6,23,22,22,23,9,6
Isaiah,23.28.29,23.9.6,23,28,29,23,9,6
Isaiah,23.32.1,23.9.6,23,32,1,23,9,6
Isaiah,23.33.22,23.9.6,23,33,22,23,9,6
Isaiah,23.43.13,23.9.6,23,43,13,23,9,6
Isaiah,23.48.16,23.9.6,23,48,16,23,9,6
